"seed","n","p","q","n_trials","arm","ok","healthy","beta_rmse","sigma_rel_frob","frob_Shat","sigma_collapse","sigma_runaway","phi_mean","max_g_fe","max_abs_loading","secs","pass_abs","err"
11301,120,8,2,10,"gtmb_va",TRUE,FALSE,0.128738281868703,1.94120398528684,2.65117575852385,FALSE,TRUE,355798.924056864,0.0027761495311123,NA,2.698,FALSE,"status=failed_health_gate"
11301,120,8,2,10,"gtmb_la",TRUE,TRUE,0.102418224643219,0.860580698749607,1.63139555502205,FALSE,FALSE,3.50715026637093,0.000400877293393248,0.796131294210856,0.683,FALSE,NA
11301,120,8,2,10,"gllvm_la",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00400000000000489,FALSE,"N/A: the condition has length > 1"
11301,120,8,2,10,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta.binomial  not implemented with method ' VA ."
11302,120,8,2,10,"gtmb_va",TRUE,FALSE,0.139977527449579,1.75528568683093,2.45895388706348,FALSE,TRUE,4.35945450848065,0.000100893199804664,NA,2.303,FALSE,"status=failed_health_gate"
11302,120,8,2,10,"gtmb_la",TRUE,TRUE,0.13763485840855,0.904563990220616,1.45304096406274,FALSE,FALSE,3.37056863480892,0.000768811145459541,0.66064965802127,1.03400000000001,FALSE,NA
11302,120,8,2,10,"gllvm_la",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00399999999999778,FALSE,"N/A: the condition has length > 1"
11302,120,8,2,10,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta.binomial  not implemented with method ' VA ."
11303,120,8,2,10,"gtmb_va",TRUE,FALSE,0.113828760012873,1.14816086734701,2.54259750161196,FALSE,FALSE,3.6463392981152,8.83112593432211e-05,NA,2.14400000000001,FALSE,"status=failed_health_gate"
11303,120,8,2,10,"gtmb_la",TRUE,TRUE,0.111592247729103,0.863738589295378,2.03287950247907,FALSE,FALSE,3.51918102947155,0.000302937325003028,0.977186963718171,0.967999999999996,FALSE,NA
11303,120,8,2,10,"gllvm_la",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00400000000000489,FALSE,"N/A: the condition has length > 1"
11303,120,8,2,10,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta.binomial  not implemented with method ' VA ."
11304,120,8,2,10,"gtmb_va",TRUE,FALSE,0.0953053073182914,1.09188984672883,1.51975749228752,FALSE,FALSE,3.25782589781171,9.09279893872572e-05,NA,2.003,FALSE,"status=failed_health_gate"
11304,120,8,2,10,"gtmb_la",TRUE,TRUE,0.0939393777740473,0.954432408679678,1.30967163577991,FALSE,FALSE,3.21342074282529,0.000996294139289478,0.57245457121135,0.464999999999996,FALSE,NA
11304,120,8,2,10,"gllvm_la",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.00499999999999545,FALSE,"N/A: the condition has length > 1"
